#,PAIR,AMOUNT,BASE PRICE,CLOSE PRICE,FUNDING COST,FUNDING TYPE,STATUS,UPDATED,CREATED,LEVERAGE
138575625,ETH/USD,-6.84885816,-2622.52392655,,0,0,CLOSED,28-09-18 11:15:14,25-09-18 07:35:56,
138438498,ETH/USD,-172.04762901,225.56811494,,0,0,CLOSED,20-09-18 21:58:38,17-09-18 13:03:58,
138294005,ETH/USD,-58.44499421,1114.75744691,,0,0,CLOSED,16-09-18 19:33:26,05-09-18 10:05:03,
137748707,ETH/USD,1.27466271,141944.7423378,,0,0,CLOSED,05-09-18 10:05:03,19-07-18 11:57:43,
137720600,ETH/USD,62.71965785,543.48918045,,0,0,CLOSED,18-07-18 18:44:17,17-07-18 17:44:06,
137652347,BTC/USD,-19.33176277,6049.04720696,,0,1,CLOSED,16-07-18 11:25:01,10-07-18 10:58:25,
137453030,BTC/USD,-3.6763546,7701.33621463,,0,1,CLOSED,30-06-18 01:36:17,22-06-18 08:31:46,
137442958,ETH/USD,1.5e-7,239132078004.44577,,0,1,CLOSED,22-06-18 08:31:11,21-06-18 06:50:32,
137312523,ETH/USD,-15.21735647,3829.97873541,,0,1,CLOSED,18-06-18 17:12:50,10-06-18 10:28:35,
137096449,ETH/USD,61.07348357,183.66956431,,0,1,CLOSED,08-06-18 14:06:31,23-05-18 01:02:35,
136671381,ETH/USD,14.27654711,3429.19833547,,0,1,CLOSED,22-05-18 20:54:25,27-04-18 10:53:21,
136434470,BTC/USD,-0.1,-913177.08000323,,0,1,CLOSED,24-04-18 05:59:28,16-04-18 13:40:16,
136349115,ETH/USD,882.17112511,428.20988123,,0,1,CLOSED,16-04-18 13:36:06,12-04-18 11:11:32,
136348190,ETH/BTC,393.6050103,0.06432861,,0,1,CLOSED,12-04-18 11:11:12,12-04-18 10:56:27,
136172505,BTC/USD,-12.10290274,7255.80735688,,0,1,CLOSED,12-04-18 10:55:40,30-03-18 12:33:16,
135830810,ETH/USD,-2.66703595,57923.79917014,,0,1,CLOSED,25-03-18 18:53:09,14-03-18 14:44:59,
135650122,BTC/USD,0.86261345,61474.34391387,,0,1,CLOSED,07-03-18 07:05:21,06-03-18 12:20:00,
135477202,BTC/USD,-0.04126523,-5632128.21728931,,0,1,CLOSED,04-03-18 20:15:58,24-02-18 13:28:13,
135416233,ETH/USD,-110.35030947,675.80668289,,0,1,CLOSED,24-02-18 13:30:06,22-02-18 10:29:34,
