Date,Market,Category,Type,Price,Amount,Total,Fee,Order Number,Base Total Less Fee,Quote Total Less Fee,Fee Currency,Fee Total
2019-04-02 19:48:55,REP/BTC,Exchange,Buy,0.00366293,51.93100000,0.19021961,0.2%,208701451812,-0.19021961,51.82713800,REP,0.10386200
2019-04-02 19:48:55,REP/BTC,Exchange,Buy,0.00364996,3.68959624,0.01346687,0.2%,208701451812,-0.01346687,3.68221705,REP,0.00737919
2019-04-02 19:48:55,REP/BTC,Exchange,Buy,0.00364105,3.64156095,0.01325910,0.2%,208701451812,-0.01325910,3.63427783,REP,0.00728312
2019-04-02 19:48:55,REP/BTC,Exchange,Buy,0.00364105,1.00035392,0.00364233,0.2%,208701451812,-0.00364233,0.99835322,REP,0.00200070
2019-03-30 16:47:19,REP/BTC,Exchange,Sell,0.00367801,103.40035346,0.38030753,0.08%,208114150701,0.38000329,-103.40035346,BTC,0.00030424
2019-03-30 16:47:19,REP/BTC,Exchange,Sell,0.00367801,4.48100000,0.01648116,0.08%,208114150701,0.01646798,-4.48100000,BTC,0.00001318
2019-03-30 16:47:19,REP/BTC,Exchange,Sell,0.00367801,61.60672352,0.22659014,0.08%,208114150701,0.22640887,-61.60672352,BTC,0.00018127
2019-03-30 16:47:19,REP/BTC,Exchange,Sell,0.00367801,199.74143075,0.73465097,0.08%,208114150701,0.73406325,-199.74143075,BTC,0.00058772
2019-03-30 16:47:19,REP/BTC,Exchange,Sell,0.00367801,0.51572168,0.00189682,0.08%,208114150701,0.00189531,-0.51572168,BTC,0.00000151
2019-03-30 16:47:19,REP/BTC,Exchange,Sell,0.00367801,11.59300000,0.04263916,0.08%,208114150701,0.04260505,-11.59300000,BTC,0.00003411
2019-03-30 16:47:18,REP/BTC,Exchange,Sell,0.00367801,0.09136017,0.00033602,0.08%,208114150701,0.00033576,-0.09136017,BTC,0.00000026
