Date,Currency,Amount,Fee Deducted,Amount - Fee,Address,Status
2016-05-18 16:53:24,BTC,0.70000000,0.00010000,0.6999,1CykMrSSQtoHjyFGEijJBUcsZ65PQo1rET,COMPLETE: 443aa4157352491c416f1a5cb3c818b0d55afe9dc6b886cb054f1c8d6eb850bd
2016-05-13 13:33:37,ETH,200.47763063,0.00000000,200.47763063,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,COMPLETE: 0xa88119d36195c929ebfce5a388e932b1ee5d7d8c69a3d2b6ba223efcf4499421
2016-05-13 13:24:33,ETH,816.35993066,0.00000000,816.35993066,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,COMPLETE: 0x5ff76beba4be251e36338f1a877d7a2b7442c00c817e15ee785003531b6bd5b7
2016-05-13 11:39:41,BTC,23.26600000,0.00010000,23.2659,17mFhg7W3qjVLapdMNfHFEafQjCfVNNqTL,COMPLETE: 42d4b69c30d073683bb0e595d60c633ba53aa77f734e489b3a426861bea042dc
2016-05-13 11:11:56,ETH,1.00000000,0.00000000,1,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,COMPLETE: 0x505da3667d608ae1e05d3ae27705663f98340e54af2ea0dc6bcf100c0ff08c02
2016-05-06 03:18:56,BTC,0.50000000,0.00010000,0.4999,19LWkjLV5cNLARTQQqK4JozdTtvXc8zwaH,COMPLETE: 51372bd1fd60da6338fd6dc826834030b707a87b02671f5ed644ba29c43d1b4d
2016-04-30 14:29:02,BTC,26.90000000,0.00010000,26.8999,13NmZWNBnrzisworu92ZAejhnuqi2H3XSP,COMPLETE: 97d5ce15ce4b290bdf2d30327ef73d18e0f7978b4e372c49aea3911d114a211b
2016-04-22 22:20:55,BTC,39.06155378,0.00010000,39.06145378,12CeweauudiYJBKY9rEWChbA5wLePV2e3k,COMPLETE: 7a20c72c7041a2e439a67719c5e088261a62c3dc42737a317c18e634640b105a
2016-04-08 16:12:25,BTC,40.00000000,0.00010000,39.9999,1AeT7qhNG6WeFMThnqXmTrcDV2mNHGDFRy,COMPLETE: b9ce5a41dfb76705d70d97ae7124cf719f1bad4909755e039a1606371dfdb523
2016-04-05 00:43:05,BTC,0.25000000,0.00010000,0.2499,1FTpWbyprp4PPf5iS2JSv4sb4f8vbzxXUS,COMPLETE: 108588993b78a40c48a3dbdda4b29bd99e6af4021969423545cbc9ed19a1b694
2016-02-14 20:28:35,ETH,3000.00000000,0.01000000,2999.99,0x711092f88fe7f1cd8eef446cbdf98fe9de86898e,COMPLETE: 0x92347f71bd1bd406e65b4cb5447320c7ed79bb89b7dc2b20791da584ec6e4c1e
2016-02-14 20:11:21,ETH,104.08624670,0.01000000,104.0762467,0x711092f88fe7f1cd8eef446cbdf98fe9de86898e,COMPLETE: 0x395d539db6f994981864a59a8115f5b6218b2dcbee6a85d860bdfb294a04c83c
2016-02-14 16:01:52,ETH,2.00000000,0.01000000,1.99,0x711092f88fe7f1cd8eef446cbdf98fe9de86898e,COMPLETE: 0x145091458209bdab425d3e8fbb49318f69dcc5ffb1dd26a755e6a91432729122
2016-01-30 07:39:17,BTC,4.76443534,0.00010000,4.76433534,1Hqob3sPDG3g9D695CP7FDxDWt6fnMWQMA,COMPLETE: b13c85589f8c80afaa82cb479263f3f0e5dd7b9800559716981a28cae2cc694b
