Currency,Rate,Amount,Duration,TotalFee,Open,Close
BTC,0.00030000,0.00000038,2.00068287,0.00000001,2016-10-04 00:03:24,2016-10-06 00:04:23
BTC,0.00030000,0.00000040,2.00068287,0.00000001,2016-10-04 00:03:24,2016-10-06 00:04:23
BTC,0.00030000,0.04082971,2.00068287,0.00002449,2016-10-04 00:03:24,2016-10-06 00:04:23
BTC,0.00030000,0.00002400,2.00068287,0.00000001,2016-10-04 00:03:24,2016-10-06 00:04:23
BTC,0.00030000,0.00882172,2.00068287,0.00000529,2016-10-04 00:03:24,2016-10-06 00:04:23
BTC,0.00030000,0.00695232,2.00068287,0.00000417,2016-10-04 00:03:24,2016-10-06 00:04:23
BTC,0.00030000,0.00999996,2.00068287,0.00000599,2016-10-04 00:03:24,2016-10-06 00:04:23
BTC,0.00030000,0.66961891,2.00068287,0.00040190,2016-10-04 00:03:24,2016-10-06 00:04:23
BTC,0.00030000,0.23221294,2.00068287,0.00013937,2016-10-04 00:03:24,2016-10-06 00:04:23
BTC,0.00030000,0.09444628,2.00068287,0.00005668,2016-10-04 00:03:24,2016-10-06 00:04:23
BTC,0.00030000,0.00035472,2.00068287,0.00000021,2016-10-04 00:03:24,2016-10-06 00:04:23
BTC,0.00030000,1.46573527,2.00068287,0.00087975,2016-10-04 00:03:24,2016-10-06 00:04:23
BTC,0.00030000,0.02859992,2.00068287,0.00001715,2016-10-04 00:03:24,2016-10-06 00:04:23
BTC,0.00031790,0.00188341,2.00068287,0.00000119,2016-10-04 00:03:24,2016-10-06 00:04:23
BTC,0.00032000,0.04288571,2.00068287,0.00002745,2016-10-04 00:03:24,2016-10-06 00:04:23
BTC,0.00036800,2.59337558,2.00068287,0.00190938,2016-10-04 00:03:24,2016-10-06 00:04:23
BTC,0.00036800,0.13857142,2.00065972,0.00010202,2016-10-04 00:02:23,2016-10-06 00:03:20
BTC,0.00036900,1.35421754,2.00065972,0.00099973,2016-10-04 00:01:23,2016-10-06 00:02:20
BTC,0.00036800,0.08575401,2.00067129,0.00006313,2016-10-04 00:00:18,2016-10-06 00:01:16
BTC,0.00036800,0.00207787,2.00067129,0.00000153,2016-10-04 00:00:18,2016-10-06 00:01:16
BTC,0.00036800,0.00100000,2.00067129,0.00000073,2016-10-04 00:00:18,2016-10-06 00:01:16
BTC,0.00036898,0.00326382,2.00067129,0.00000241,2016-10-04 00:00:18,2016-10-06 00:01:16
BTC,0.00036899,0.00100000,2.00067129,0.00000073,2016-10-04 00:00:18,2016-10-06 00:01:16
BTC,0.00036900,0.58381924,2.00067129,0.00043099,2016-10-04 00:00:18,2016-10-06 00:01:16
BTC,0.00036900,0.03339577,2.00067129,0.00002465,2016-10-04 00:00:18,2016-10-06 00:01:16
BTC,0.00036900,0.04285915,2.00067129,0.00003164,2016-10-04 00:00:18,2016-10-06 00:01:16
BTC,0.00036900,0.00100000,2.00067129,0.00000073,2016-10-04 00:00:18,2016-10-06 00:01:16
BTC,0.00036900,0.05032216,2.00067129,0.00003714,2016-10-04 00:00:18,2016-10-06 00:01:16
BTC,0.00036900,0.02658886,2.00067129,0.00001963,2016-10-04 00:00:18,2016-10-06 00:01:16
BTC,0.00036900,0.00768590,2.00067129,0.00000567,2016-10-04 00:00:18,2016-10-06 00:01:16
BTC,0.00036900,0.01286855,2.00067129,0.00000949,2016-10-04 00:00:18,2016-10-06 00:01:16
BTC,0.00036900,0.20962762,2.00067129,0.00015476,2016-10-04 00:00:18,2016-10-06 00:01:16
BTC,0.00036900,0.05902456,2.00067129,0.00004358,2016-10-04 00:00:18,2016-10-06 00:01:16
BTC,0.00036900,0.15381868,2.00067129,0.00011354,2016-10-04 00:00:18,2016-10-06 00:01:16
BTC,0.00036900,0.00642043,2.00067129,0.00000473,2016-10-04 00:00:18,2016-10-06 00:01:16
BTC,0.00036900,0.22479930,2.00067129,0.00016596,2016-10-04 00:00:18,2016-10-06 00:01:16
BTC,0.00036766,0.00800000,2.00065972,0.00000589,2016-10-03 23:59:16,2016-10-06 00:00:13
BTC,0.00037000,0.04319090,2.00065972,0.00003198,2016-10-03 23:59:16,2016-10-06 00:00:13
BTC,0.00036766,0.00200000,2.00068287,0.00000147,2016-10-03 23:58:11,2016-10-05 23:59:10
BTC,0.00037000,0.19118788,2.00068287,0.00014151,2016-10-03 23:58:11,2016-10-05 23:59:10
BTC,0.00039300,0.00886098,2.00016203,0.00000697,2016-10-03 00:09:08,2016-10-05 00:09:22
BTC,0.00039300,0.01497272,2.00016203,0.00001177,2016-10-03 00:09:08,2016-10-05 00:09:22
BTC,0.00039380,0.10541031,2.00016203,0.00008303,2016-10-03 00:09:08,2016-10-05 00:09:22
BTC,0.00039390,0.24749110,2.00016203,0.00019498,2016-10-03 00:09:08,2016-10-05 00:09:22
BTC,0.00039399,0.00320996,2.00016203,0.00000253,2016-10-03 00:09:08,2016-10-05 00:09:22
BTC,0.00039399,0.00326897,2.00016203,0.00000257,2016-10-03 00:09:08,2016-10-05 00:09:22
BTC,0.00039399,0.00703018,2.00016203,0.00000553,2016-10-03 00:09:08,2016-10-05 00:09:22
BTC,0.00039400,0.00320996,2.00016203,0.00000253,2016-10-03 00:09:08,2016-10-05 00:09:22
BTC,0.00039400,0.00476858,2.00016203,0.00000375,2016-10-03 00:09:08,2016-10-05 00:09:22
BTC,0.00039498,0.00100000,2.00015046,0.00000079,2016-10-03 00:09:09,2016-10-05 00:09:22
BTC,0.00039498,0.00100000,2.00015046,0.00000079,2016-10-03 00:09:09,2016-10-05 00:09:22
BTC,0.00039498,0.00100000,2.00015046,0.00000079,2016-10-03 00:09:09,2016-10-05 00:09:22
BTC,0.00039498,0.00100000,2.00015046,0.00000079,2016-10-03 00:09:09,2016-10-05 00:09:22
BTC,0.00039498,0.00100000,2.00015046,0.00000079,2016-10-03 00:09:09,2016-10-05 00:09:22
BTC,0.00039498,0.00100000,2.00015046,0.00000079,2016-10-03 00:09:09,2016-10-05 00:09:22
BTC,0.00039498,0.00100000,2.00015046,0.00000079,2016-10-03 00:09:09,2016-10-05 00:09:22
BTC,0.00039498,0.00100000,2.00015046,0.00000079,2016-10-03 00:09:09,2016-10-05 00:09:22
BTC,0.00039498,0.00100000,2.00015046,0.00000079,2016-10-03 00:09:09,2016-10-05 00:09:22
BTC,0.00039498,0.00100000,2.00015046,0.00000079,2016-10-03 00:09:09,2016-10-05 00:09:22
BTC,0.00039498,0.00100000,2.00016203,0.00000079,2016-10-03 00:09:08,2016-10-05 00:09:22
BTC,0.00039498,0.00100000,2.00016203,0.00000079,2016-10-03 00:09:08,2016-10-05 00:09:22
BTC,0.00039498,0.00100000,2.00016203,0.00000079,2016-10-03 00:09:08,2016-10-05 00:09:22
BTC,0.00039498,0.00100000,2.00016203,0.00000079,2016-10-03 00:09:08,2016-10-05 00:09:22
BTC,0.00039498,0.00100000,2.00016203,0.00000079,2016-10-03 00:09:08,2016-10-05 00:09:22
BTC,0.00039499,0.02876935,2.00015046,0.00002273,2016-10-03 00:09:09,2016-10-05 00:09:22
BTC,0.00039790,0.01188505,2.00034722,0.00000945,2016-10-03 00:08:06,2016-10-05 00:08:36
BTC,0.00039907,0.00100000,2.00034722,0.00000079,2016-10-03 00:08:06,2016-10-05 00:08:36
BTC,0.00040000,0.05877546,2.00034722,0.00004703,2016-10-03 00:08:06,2016-10-05 00:08:36
BTC,0.00040000,0.92013150,2.00034722,0.00073623,2016-10-03 00:08:06,2016-10-05 00:08:36
BTC,0.00040000,1.57180512,2.00034722,0.00125766,2016-10-03 00:08:06,2016-10-05 00:08:36
BTC,0.00040007,0.00321586,2.00033564,0.00000257,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.02958814,2.00033564,0.00002367,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.00149950,2.00033564,0.00000119,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.00354471,2.00033564,0.00000283,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.00961326,2.00033564,0.00000769,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.00555613,2.00033564,0.00000445,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.00962987,2.00033564,0.00000771,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.06131863,2.00033564,0.00004907,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.07647613,2.00033564,0.00006120,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.00174601,2.00033564,0.00000139,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.26133076,2.00033564,0.00020914,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.00293703,2.00033564,0.00000235,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.00482176,2.00033564,0.00000385,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.01488629,2.00033564,0.00001191,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.01098753,2.00033564,0.00000879,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.17584786,2.00033564,0.00014073,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.00152743,2.00033564,0.00000123,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.00387085,2.00033564,0.00000309,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.00934178,2.00033564,0.00000747,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.09139314,2.00033564,0.00007314,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.00573768,2.00033564,0.00000459,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.00428051,2.00033564,0.00000343,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.01234124,2.00033564,0.00000987,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.00103935,2.00033564,0.00000083,2016-10-03 00:08:07,2016-10-05 00:08:36
BTC,0.00040008,0.71467098,2.00032407,0.00057194,2016-10-03 00:08:07,2016-10-05 00:08:35
BTC,0.00040008,0.04290737,2.00032407,0.00003433,2016-10-03 00:08:07,2016-10-05 00:08:35
BTC,0.00040008,0.06453793,2.00032407,0.00005165,2016-10-03 00:08:07,2016-10-05 00:08:35
BTC,0.00040008,0.06151758,2.00032407,0.00004923,2016-10-03 00:08:07,2016-10-05 00:08:35
BTC,0.00040088,0.77736289,2.00032407,0.00062335,2016-10-03 00:08:07,2016-10-05 00:08:35
BTC,0.00040088,0.31913545,2.00032407,0.00025591,2016-10-03 00:08:07,2016-10-05 00:08:35
BTC,0.00040100,0.00152829,2.00032407,0.00000123,2016-10-03 00:08:07,2016-10-05 00:08:35
BTC,0.00040100,0.00016255,2.00032407,0.00000013,2016-10-03 00:08:07,2016-10-05 00:08:35
BTC,0.00040107,0.40432311,2.00032407,0.00032438,2016-10-03 00:08:07,2016-10-05 00:08:35
BTC,0.00040108,0.15883486,2.00032407,0.00012743,2016-10-03 00:08:07,2016-10-05 00:08:35
BTC,0.00040108,0.19084595,2.00032407,0.00015311,2016-10-03 00:08:07,2016-10-05 00:08:35
BTC,0.00040108,0.01444464,2.00032407,0.00001159,2016-10-03 00:08:07,2016-10-05 00:08:35
BTC,0.00040108,0.83314373,2.00032407,0.00066842,2016-10-03 00:08:07,2016-10-05 00:08:35
BTC,0.00040108,0.00925147,2.00032407,0.00000743,2016-10-03 00:08:07,2016-10-05 00:08:35
BTC,0.00040108,0.45176552,2.00032407,0.00036245,2016-10-03 00:08:07,2016-10-05 00:08:35
BTC,0.00039200,0.00159646,2.00005787,0.00000125,2016-10-03 00:07:02,2016-10-05 00:07:07
BTC,0.00039200,0.00053696,2.00005787,0.00000043,2016-10-03 00:07:02,2016-10-05 00:07:07
BTC,0.00039088,0.00261415,2.00017361,0.00000205,2016-10-03 00:05:59,2016-10-05 00:06:14
BTC,0.00039187,0.65340692,2.00017361,0.00051215,2016-10-03 00:05:59,2016-10-05 00:06:14
BTC,0.00051900,0.00759763,4.00046296,0.00001577,2016-10-01 00:05:34,2016-10-05 00:06:14
BTC,0.00039150,0.02053960,2.00008101,0.00001609,2016-10-03 00:04:58,2016-10-05 00:05:05
